,wind_cost_scenario,pv_cost_scenario,h2_tank_cost_scenario,h2_intraday_cost_scenario,investment_solar,investment_wind,investment_storage_gas,investment_storage_liquid,investment_cost,operational_cost,Sol_wind,Sol_pv,Sol_h2_intraday,Sol_h2_tank,operational_cost_1,operational_cost_2,operational_cost_3,operational_cost_4,operational_cost_5,operational_cost_6,operational_cost_7,operational_cost_8,operational_cost_9
0,-1,0,0,0,400000,0,260000,1600000,2260000,162804.013,129,1,13,2,1565.300178,345.3060452,51008.8277,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56719.12489
1,-0.9,0,0,0,0,36600000,0,3200000,39800000,447788.5741,122,0,0,4,3410.362051,615.4529668,145237.043,3410.362051,615.4529668,145237.043,3410.362051,615.4529668,145237.043
2,-0.8,0,0,0,0,66000000,0,8000000,74000000,1967402.236,110,0,0,10,14022.60022,1451.749754,640326.3953,14022.60022,1451.749754,640326.3953,14022.60022,1451.749754,640326.3953
3,-0.7,0,0,0,0,92700000,0,13600000,106300000,4239944.949,103,0,0,17,47441.35778,3009.723767,1362863.901,47441.35778,3009.723767,1362863.901,47441.35778,3009.723767,1362863.901
4,-0.6,0,0,0,0,120000000,0,16800000,136800000,5944508.139,100,0,0,21,89113.399,4467.912511,1887921.402,89113.399,4467.912511,1887921.402,89113.399,4467.912511,1887921.402
5,-0.5,0,0,0,0,147000000,0,19200000,166200000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
6,-0.4,0,0,0,0,176400000,0,19200000,195600000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
7,-0.3,0,0,0,0,205800000,0,19200000,225000000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
8,-0.2,0,0,0,0,235200000,0,19200000,254400000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
9,-0.1,0,0,0,0,264600000,0,19200000,283800000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
10,0,0,0,0,0,294000000,0,19200000,313200000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
11,0.1,0,0,0,0,323400000,0,19200000,342600000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
12,0.2,0,0,0,0,352800000,0,19200000,372000000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
13,0.3,0,0,0,0,382200000,0,19200000,401400000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
14,0.4,0,0,0,0,411600000,0,19200000,430800000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
15,0.5,0,0,0,0,441000000,0,19200000,460200000,7376521.31,98,0,0,24,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646,127459.9601,5809.830073,2325570.646
16,0.6,0,0,0,4800000,465600000,0,19200000,489600000,6465808.464,97,12,0,24,92597.2095,4113.319233,2046653.104,82966.68537,3725.559295,1952801.315,103074.8123,4540.53639,2175335.923
17,0.7,0,0,0,4800000,494700000,0,19200000,518700000,6465808.464,97,12,0,24,92597.2095,4113.319233,2046653.104,82966.68537,3725.559295,1952801.315,103074.8123,4540.53639,2175335.923
18,0.8,0,0,0,4800000,523800000,0,19200000,547800000,6465808.464,97,12,0,24,92597.2095,4113.319233,2046653.104,82966.68537,3725.559295,1952801.315,103074.8123,4540.53639,2175335.923
19,0.9,0,0,0,4800000,552900000,0,19200000,576900000,6465808.464,97,12,0,24,92597.2095,4113.319233,2046653.104,82966.68537,3725.559295,1952801.315,103074.8123,4540.53639,2175335.923
20,1,0,0,0,4800000,582000000,0,19200000,606000000,6465808.464,97,12,0,24,92597.2095,4113.319233,2046653.104,82966.68537,3725.559295,1952801.315,103074.8123,4540.53639,2175335.923
