,wind_cost_scenario,pv_cost_scenario,h2_tank_cost_scenario,h2_intraday_cost_scenario,investment_solar,investment_wind,investment_storage_gas,investment_storage_liquid,investment_cost,operational_cost,Sol_wind,Sol_pv,Sol_h2_intraday,Sol_h2_tank,operational_cost_1,operational_cost_2,operational_cost_3,operational_cost_4,operational_cost_5,operational_cost_6,operational_cost_7,operational_cost_8,operational_cost_9
0,-1,-1,0,0,0,0,0,800000,800000,585.2204061,129,6412,0,1,0,0,195.0734687,0,0,195.0734687,0,0,195.0734687
1,-1,-0.9,0,0,80000,0,0,1600000,1680000,146481.4436,129,2,0,2,1517.709948,328.282509,46947.2053,1498.932974,321.3980877,45831.7407,1537.005158,335.0169167,48164.15205
2,-1,-0.8,0,0,160000,0,0,1600000,1760000,146481.4436,129,2,0,2,1517.709948,328.282509,46947.2053,1498.932974,321.3980877,45831.7407,1537.005158,335.0169167,48164.15205
3,-1,-0.7,0,0,240000,0,0,1600000,1840000,146481.4436,129,2,0,2,1517.709948,328.282509,46947.2053,1498.932974,321.3980877,45831.7407,1537.005158,335.0169167,48164.15205
4,-1,-0.6,0,0,320000,0,0,1600000,1920000,146481.4436,129,2,0,2,1517.709948,328.282509,46947.2053,1498.932974,321.3980877,45831.7407,1537.005158,335.0169167,48164.15205
5,-1,-0.5,0,0,400000,0,0,1600000,2000000,146481.4436,129,2,0,2,1517.709948,328.282509,46947.2053,1498.932974,321.3980877,45831.7407,1537.005158,335.0169167,48164.15205
6,-1,-0.4,0,0,480000,0,0,1600000,2080000,146481.4436,129,2,0,2,1517.709948,328.282509,46947.2053,1498.932974,321.3980877,45831.7407,1537.005158,335.0169167,48164.15205
7,-1,-0.3,0,0,280000,0,260000,1600000,2140000,162804.013,129,1,13,2,1565.300178,345.3060452,51008.8277,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56719.12489
8,-1,-0.2,0,0,320000,0,260000,1600000,2180000,162793.4428,129,1,13,2,1565.300178,345.3060452,51007.83595,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56709.54637
9,-1,-0.1,0,0,360000,0,260000,1600000,2220000,162793.4428,129,1,13,2,1565.300178,345.3060452,51007.83595,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56709.54637
10,-1,0,0,0,400000,0,260000,1600000,2260000,162804.013,129,1,13,2,1565.300178,345.3060452,51008.8277,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56719.12489
11,-1,0.1,0,0,440000,0,260000,1600000,2300000,162804.013,129,1,13,2,1565.300178,345.3060452,51008.8277,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56719.12489
12,-1,0.2,0,0,480000,0,260000,1600000,2340000,162804.013,129,1,13,2,1565.300178,345.3060452,51008.8277,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56719.12489
13,-1,0.3,0,0,520000,0,260000,1600000,2380000,162804.013,129,1,13,2,1565.300178,345.3060452,51008.8277,1555.911691,341.8638345,49344.05767,1574.947783,348.673249,56719.12489
14,-1,0.4,0,0,0,0,0,2400000,2400000,164571.2753,129,0,0,3,1612.890408,362.3295813,52881.87177,1612.890408,362.3295813,52881.87177,1612.890408,362.3295813,52881.87177
