,wind_cost_scenario,pv_cost_scenario,h2_tank_cost_scenario,h2_intraday_cost_scenario,investment_solar,investment_wind,investment_storage_gas,investment_storage_liquid,investment_cost,operational_cost,Sol_wind,Sol_pv,Sol_h2_tank,Sol_h2_intraday,operational_cost_1,operational_cost_2,operational_cost_3,operational_cost_4,operational_cost_5,operational_cost_6,operational_cost_7,operational_cost_8,operational_cost_9
0,-1.0,0,0,0,400000.0,0.0,260000.0,1600000.0,2260000.0,162804.0130457867,129.0,1.0,13.0,2.0,1565.3001780731386,345.30604516475745,51008.82770467042,1555.91169115809,341.8638345215383,49344.057673772164,1574.9477831235936,348.6732489779221,56719.12488632508
1,-0.9,0,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.5741202257,122.0,0.0,0.0,4.0,3410.362051041208,615.4529667726739,145237.04302226132,3410.362051041208,615.452966772674,145237.04302226144,3410.3620510412075,615.4529667726741,145237.0430222613
2,-0.8,0,0,0,0.0,65999999.999999985,0.0,8000000.0,73999999.99999999,1967402.2358993674,110.0,0.0,0.0,10.0,14022.600220693068,1451.749754104904,640326.3953249911,14022.600220693072,1451.7497541049042,640326.3953249912,14022.600220693072,1451.7497541049038,640326.3953249911
3,-0.7,0,0,0,0.0,92700000.00000001,0.0,13600000.0,106300000.00000001,4239944.948610772,103.0,0.0,0.0,17.0,47441.35778372941,3009.723767363412,1362863.9013191648,47441.357783729385,3009.723767363412,1362863.901319164,47441.3577837294,3009.7237673634127,1362863.9013191645
4,-0.6,0,0,0,0.0,120000000.0,0.0,16800000.0,136800000.0,5944508.139423477,100.0,0.0,0.0,21.0,89113.39900173232,4467.912510755135,1887921.401628672,89113.39900173232,4467.912510755135,1887921.4016286717,89113.39900173232,4467.912510755137,1887921.401628672
5,-0.5,0,0,0,0.0,147000000.0,0.0,19200000.0,166200000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921053,2325570.6464193678,127459.96008779245,5809.8300729210505,2325570.6464193678,127459.96008779241,5809.830072921051,2325570.6464193673
6,-0.4,0,0,0,0.0,176400000.0,0.0,19200000.0,195600000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779247,5809.830072921053,2325570.6464193673,127459.96008779247,5809.830072921051,2325570.6464193673,127459.96008779248,5809.830072921051,2325570.6464193678
7,-0.3,0,0,0,0.0,205800000.0,0.0,19200000.0,225000000.0,7376521.309740266,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921052,2325570.646419375,127459.96008779248,5809.8300729210505,2325570.646419375,127459.96008779247,5809.830072921052,2325570.6464193757
8,-0.2,0,0,0,0.0,235200000.0,0.0,19200000.0,254400000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779248,5809.830072921052,2325570.6464193673,127459.96008779245,5809.830072921051,2325570.6464193678,127459.96008779244,5809.830072921051,2325570.646419367
9,-0.1,0,0,0,0.0,264600000.0,0.0,19200000.0,283800000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921051,2325570.646419368,127459.96008779244,5809.830072921052,2325570.6464193678,127459.96008779248,5809.830072921051,2325570.646419367
10,0.0,0,0,0,0.0,294000000.0,0.0,19200000.0,313200000.0,7376521.309740262,98.0,0.0,0.0,24.0,127459.96008779247,5809.830072921051,2325570.646419376,127459.96008779244,5809.830072921051,2325570.646419373,127459.96008779244,5809.8300729210505,2325570.6464193733
11,0.1,0,0,0,0.0,323400000.00000006,0.0,19200000.0,342600000.00000006,7376521.309740212,98.0,0.0,0.0,24.0,127459.96008779247,5809.8300729210505,2325570.6464193207,127459.96008779247,5809.830072921051,2325570.6464193733,127459.96008779248,5809.830072921051,2325570.6464193757
12,0.2,0,0,0,0.0,352800000.0,0.0,19200000.0,372000000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779248,5809.830072921052,2325570.6464193673,127459.96008779248,5809.830072921051,2325570.6464193678,127459.96008779245,5809.830072921051,2325570.646419367
13,0.3,0,0,0,0.0,382200000.0,0.0,19200000.0,401400000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779248,5809.8300729210505,2325570.6464193678,127459.96008779247,5809.83007292105,2325570.6464193678,127459.96008779244,5809.830072921051,2325570.6464193673
14,0.4,0,0,0,0.0,411600000.0,0.0,19200000.0,430800000.0,7376521.3097402435,98.0,0.0,0.0,24.0,127459.96008779245,5809.830072921053,2325570.6464193678,127459.96008779245,5809.830072921053,2325570.6464193687,127459.96008779245,5809.8300729210505,2325570.646419367
15,0.5,0,0,0,0.0,441000000.0,0.0,19200000.0,460200000.0,7376521.309740243,98.0,0.0,0.0,24.0,127459.96008779244,5809.830072921052,2325570.6464193678,127459.96008779247,5809.830072921051,2325570.6464193673,127459.96008779241,5809.830072921051,2325570.646419367
16,0.6,0,0,0,4800000.0,465600000.0,0.0,19200000.0,489600000.0,6465808.4643071685,97.0,12.0,0.0,24.0,92597.2095019264,4113.319232855891,2046653.1037176144,82966.68536899178,3725.55929520333,1952801.3151492558,103074.81233066451,4540.536390369267,2175335.9233202883
17,0.7,0,0,0,4800000.0,494700000.0,0.0,19200000.0,518700000.0,6465808.464307184,97.0,12.0,0.0,24.0,92597.20950192632,4113.319232855888,2046653.1037176147,82966.68536899175,3725.55929520333,1952801.3151492546,103074.81233066451,4540.536390369264,2175335.9233203046
18,0.8,0,0,0,4800000.0,523800000.0,0.0,19200000.0,547800000.0,6465808.46430717,97.0,12.0,0.0,24.0,92597.20950192635,4113.319232855891,2046653.1037176142,82966.68536899178,3725.559295203328,1952801.3151492549,103074.81233066446,4540.536390369269,2175335.9233202906
19,0.9,0,0,0,4800000.0,552900000.0,0.0,19200000.0,576900000.0,6465808.464307174,97.0,12.0,0.0,24.0,92597.20950192634,4113.319232855887,2046653.1037176128,82966.68536899179,3725.5592952033307,1952801.3151492544,103074.81233066446,4540.536390369264,2175335.923320296
