,wind_cost_scenario,pv_cost_scenario,h2_tank_cost_scenario,h2_intraday_cost_scenario,investment_solar,investment_wind,investment_storage_gas,investment_storage_liquid,investment_cost,operational_cost,Sol_wind,Sol_pv,Sol_h2_tank,Sol_h2_intraday,operational_cost_1,operational_cost_2,operational_cost_3,operational_cost_4,operational_cost_5,operational_cost_6,operational_cost_7,operational_cost_8,operational_cost_9
0,-1.0,-1.0,0,0,0.0,0.0,0.0,800000.0,800000.0,585.2204060828144,129.0,6412.0,0.0,1.0,0.0,0.0,195.07346869427172,0.0,0.0,195.07346869427136,0.0,0.0,195.07346869427136
1,-1.0,-0.9,0,0,79999.99999999999,0.0,0.0,1600000.0,1680000.0,146481.44364432865,129.0,2.0,0.0,2.0,1517.7099481593827,328.282509023799,46947.205297853034,1498.9329743292867,321.3980877373598,45831.740699983224,1537.0051582602916,335.01691665012754,48164.152052332145
2,-1.0,-0.8,0,0,159999.99999999997,0.0,0.0,1600000.0,1760000.0,146481.44364432862,129.0,2.0,0.0,2.0,1517.7099481593825,328.282509023799,46947.20529785304,1498.932974329287,321.39808773735984,45831.74069998323,1537.0051582602919,335.0169166501271,48164.152052332116
3,-1.0,-0.7,0,0,240000.00000000003,0.0,0.0,1600000.0,1840000.0,146481.44364432865,129.0,2.0,0.0,2.0,1517.7099481593825,328.282509023799,46947.20529785304,1498.932974329287,321.39808773735984,45831.74069998323,1537.0051582602919,335.0169166501271,48164.15205233213
4,-1.0,-0.6,0,0,320000.0,0.0,0.0,1600000.0,1920000.0,146481.44364432862,129.0,2.0,0.0,2.0,1517.7099481593825,328.282509023799,46947.20529785303,1498.932974329287,321.39808773735984,45831.740699983224,1537.0051582602919,335.0169166501271,48164.15205233213
5,-1.0,-0.5,0,0,400000.0,0.0,0.0,1600000.0,2000000.0,146481.44364432862,129.0,2.0,0.0,2.0,1517.7099481593825,328.282509023799,46947.20529785303,1498.932974329287,321.39808773735984,45831.740699983224,1537.0051582602919,335.0169166501271,48164.15205233213
6,-1.0,-0.4,0,0,480000.0,0.0,0.0,1600000.0,2080000.0,146481.44364432862,129.0,2.0,0.0,2.0,1517.7099481593825,328.282509023799,46947.20529785301,1498.932974329287,321.39808773735984,45831.740699983224,1537.005158260292,335.01691665012726,48164.15205233213
7,-1.0,-0.3,0,0,280000.0,0.0,260000.0,1600000.0,2140000.0,162804.01304578653,129.0,1.0,13.0,2.0,1565.3001780731386,345.30604516475745,51008.827704670264,1555.91169115809,341.8638345215383,49344.05767377218,1574.9477831235945,348.6732489779218,56719.12488632502
8,-1.0,-0.2,0,0,320000.0,0.0,260000.0,1600000.0,2180000.0,162793.4427774941,129.0,1.0,13.0,2.0,1565.3001780731395,345.3060451647576,51007.83595441265,1555.9116911580904,341.86383452153814,49344.057673772164,1574.9477831235943,348.6732489779216,56709.54636829025
9,-1.0,-0.1,0,0,360000.0,0.0,260000.0,1600000.0,2220000.0,162793.44277749423,129.0,1.0,13.0,2.0,1565.300178073139,345.3060451647576,51007.83595441276,1555.9116911580907,341.8638345215383,49344.05767377217,1574.9477831235938,348.67324897792173,56709.546368290255
10,-1.0,0.0,0,0,400000.0,0.0,260000.0,1600000.0,2260000.0,162804.0130457867,129.0,1.0,13.0,2.0,1565.3001780731386,345.30604516475745,51008.82770467042,1555.91169115809,341.8638345215383,49344.057673772164,1574.9477831235936,348.6732489779221,56719.12488632508
11,-1.0,0.1,0,0,440000.00000000006,0.0,260000.0,1600000.0,2300000.0,162804.01304578639,129.0,1.0,13.0,2.0,1565.3001780731386,345.30604516475745,51008.8277046701,1555.91169115809,341.8638345215383,49344.05767377218,1574.9477831235938,348.6732489779221,56719.12488632505
12,-1.0,0.2,0,0,480000.0,0.0,260000.0,1600000.0,2340000.0,162804.0130457865,129.0,1.0,13.0,2.0,1565.3001780731386,345.30604516475745,51008.82770467009,1555.91169115809,341.8638345215383,49344.05767377216,1574.9477831235936,348.6732489779221,56719.12488632519
13,-1.0,0.3,0,0,520000.0,0.0,260000.0,1600000.0,2380000.0,162804.01304578668,129.0,1.0,13.0,2.0,1565.3001780731386,345.30604516475745,51008.82770467042,1555.91169115809,341.8638345215383,49344.057673772164,1574.9477831235936,348.6732489779221,56719.12488632505
14,-1.0,0.4,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
15,-1.0,0.5,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
16,-1.0,0.6,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
17,-1.0,0.7,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
18,-1.0,0.8,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
19,-1.0,0.9,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
20,-1.0,1.0,0,0,0.0,0.0,0.0,2400000.0,2400000.0,164571.27526438195,129.0,0.0,0.0,3.0,1612.8904079868955,362.3295813057165,52881.871765501346,1612.8904079868958,362.32958130571666,52881.87176550138,1612.8904079868962,362.32958130571717,52881.871765501375
21,-0.9,-1.0,0,0,0.0,24599999.999999996,0.0,5600000.0,30199999.999999996,350729.8806955629,82.0,6412.0,0.0,7.0,16017.852096701197,662.4632862301515,99790.99944924156,15956.479285124506,662.4632862301507,95907.7599388712,16740.76236975884,662.4632862301517,104328.63769717516
22,-0.9,-0.9,0,0,3399999.9999999995,34499999.99999999,0.0,1600000.0,39499999.99999999,84123.93983781268,115.0,85.0,0.0,2.0,906.2317625990948,0.0,24513.478915717562,633.6890190004656,0.0,15373.259592782904,1387.0861666559001,0.0,41310.194381056746
23,-0.9,-0.8,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022597,122.0,0.0,0.0,4.0,3410.3620510412084,615.4529667726739,145237.04302226138,3410.3620510412075,615.4529667726738,145237.04302226153,3410.362051041207,615.452966772674,145237.04302226144
24,-0.9,-0.7,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.5741202264,122.0,0.0,0.0,4.0,3410.362051041208,615.4529667726742,145237.04302226167,3410.3620510412075,615.4529667726746,145237.04302226158,3410.3620510412084,615.4529667726744,145237.04302226147
25,-0.9,-0.6,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022585,122.0,0.0,0.0,4.0,3410.362051041208,615.452966772674,145237.04302226138,3410.3620510412075,615.4529667726739,145237.04302226144,3410.3620510412093,615.4529667726741,145237.04302226138
26,-0.9,-0.5,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022585,122.0,0.0,0.0,4.0,3410.362051041208,615.452966772674,145237.04302226147,3410.362051041208,615.4529667726742,145237.04302226138,3410.3620510412065,615.452966772674,145237.04302226144
27,-0.9,-0.4,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022585,122.0,0.0,0.0,4.0,3410.362051041207,615.452966772674,145237.04302226144,3410.3620510412065,615.4529667726738,145237.0430222614,3410.3620510412065,615.452966772674,145237.04302226144
28,-0.9,-0.3,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022573,122.0,0.0,0.0,4.0,3410.3620510412084,615.452966772674,145237.04302226135,3410.362051041209,615.452966772674,145237.0430222614,3410.362051041208,615.452966772674,145237.04302226132
29,-0.9,-0.2,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022573,122.0,0.0,0.0,4.0,3410.3620510412065,615.452966772674,145237.04302226135,3410.3620510412093,615.4529667726739,145237.04302226138,3410.362051041208,615.452966772674,145237.04302226144
30,-0.9,-0.1,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022573,122.0,0.0,0.0,4.0,3410.3620510412065,615.452966772674,145237.04302226135,3410.3620510412093,615.4529667726739,145237.04302226138,3410.362051041208,615.452966772674,145237.04302226144
31,-0.9,0.0,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.5741202257,122.0,0.0,0.0,4.0,3410.362051041208,615.4529667726739,145237.04302226132,3410.362051041208,615.452966772674,145237.04302226144,3410.3620510412075,615.4529667726741,145237.0430222613
32,-0.9,0.1,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022585,122.0,0.0,0.0,4.0,3410.3620510412075,615.4529667726739,145237.04302226138,3410.3620510412084,615.4529667726739,145237.04302226144,3410.362051041208,615.452966772674,145237.0430222614
33,-0.9,0.2,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.5741202262,122.0,0.0,0.0,4.0,3410.362051041208,615.4529667726738,145237.0430222615,3410.362051041209,615.452966772674,145237.04302226158,3410.3620510412075,615.452966772674,145237.0430222615
34,-0.9,0.3,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022597,122.0,0.0,0.0,4.0,3410.362051041208,615.4529667726738,145237.04302226144,3410.362051041209,615.452966772674,145237.04302226153,3410.3620510412084,615.452966772674,145237.04302226144
35,-0.9,0.4,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022585,122.0,0.0,0.0,4.0,3410.362051041209,615.4529667726742,145237.04302226144,3410.3620510412084,615.4529667726738,145237.0430222614,3410.362051041208,615.4529667726744,145237.04302226138
36,-0.9,0.5,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022573,122.0,0.0,0.0,4.0,3410.362051041207,615.452966772674,145237.04302226132,3410.362051041208,615.4529667726742,145237.0430222614,3410.3620510412093,615.4529667726741,145237.04302226144
37,-0.9,0.6,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022585,122.0,0.0,0.0,4.0,3410.3620510412065,615.452966772674,145237.04302226147,3410.362051041208,615.452966772674,145237.0430222614,3410.362051041208,615.4529667726739,145237.04302226135
38,-0.9,0.7,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022597,122.0,0.0,0.0,4.0,3410.3620510412075,615.452966772674,145237.0430222614,3410.362051041208,615.452966772674,145237.04302226155,3410.362051041208,615.4529667726744,145237.0430222614
39,-0.9,0.8,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022655,122.0,0.0,0.0,4.0,3410.362051041209,615.4529667726741,145237.04302226164,3410.362051041209,615.452966772674,145237.04302226167,3410.3620510412075,615.452966772674,145237.0430222616
40,-0.9,0.9,0,0,0.0,36599999.99999999,0.0,3200000.0,39799999.99999999,447788.57412022614,122.0,0.0,0.0,4.0,3410.362051041208,615.4529667726741,145237.04302226147,3410.362051041208,615.4529667726742,145237.04302226153,3410.362051041206,615.4529667726744,145237.04302226153
